牛肉,165.00 ,0.70 ,21.50 ,7.60 ,0.00 ,0.10 ,0.18 ,2.00 ,3.00 
豚肉,177.00 ,0.40 ,20.30 ,9.50 ,0.00 ,0.78 ,0.21 ,1.00 ,6.00 
鶏肉,182.00 ,0.10 ,19.50 ,10.60 ,0.00 ,0.09 ,0.28 ,1.00 ,10.00 
アジ,144.00 ,0.10 ,18.70 ,6.90 ,0.00 ,0.12 ,0.16 ,1.00 ,65.00 
マグロ,108.00 ,0.10 ,24.30 ,0.50 ,0.00 ,0.10 ,0.15 ,2.00 ,2.00 
サーモン,167.00 ,0.10 ,20.70 ,8.40 ,0.00 ,0.22 ,0.17 ,2.00 ,14.00 
鶏卵,162.00 ,0.90 ,12.30 ,11.20 ,15.00 ,0.08 ,0.48 ,0.00 ,55.00 
豆腐,77.00 ,0.80 ,6.80 ,5.00 ,0.00 ,0.07 ,0.03 ,0.00 ,120.00 
納豆,200.00 ,12.10 ,16.50 ,10.00 ,0.00 ,0.07 ,0.56 ,0.00 ,90.00 
牛乳,59.00 ,4.50 ,2.90 ,3.20 ,11.00 ,0.03 ,0.15 ,0.00 ,100.00 
チーズ,356.00 ,1.40 ,28.90 ,25.00 ,150.00 ,0.04 ,0.42 ,0.00 ,660.00 
わかめ,0.00 ,38.00 ,15.00 ,3.20 ,"3,300.00 ",0.30 ,1.15 ,15.00 ,960.00 
ヨーグルト,60.00 ,5.00 ,3.20 ,3.00 ,11.00 ,0.04 ,0.20 ,0.00 ,110.00 
焼きのり,0.00 ,4.20 ,1.90 ,0.10 ,340.00 ,0.13 ,0.16 ,12.00 ,21.00 
しらす干し,176.00 ,0.30 ,378.00 ,1.60 ,0.00 ,0.02 ,0.20 ,0.00 ,530.00 
ホウレンソウ,25.00 ,4.40 ,3.30 ,0.20 ,"3,100.00 ",0.13 ,0.23 ,65.00 ,55.00 
トマト,16.00 ,3.70 ,0.70 ,0.10 ,390.00 ,0.05 ,0.03 ,20.00 ,9.00 
ブロッコリー,43.00 ,7.80 ,5.90 ,0.10 ,720.00 ,0.12 ,0.27 ,160.00 ,49.00 
にんじん,32.00 ,7.10 ,1.20 ,0.20 ,"7,300.00 ",0.07 ,0.05 ,6.00 ,39.00 
ピーマン,21.00 ,5.00 ,0.90 ,0.10 ,270.00 ,0.04 ,0.04 ,80.00 ,10.00 
アスパラ,20.00 ,4.20 ,1.00 ,0.10 ,350.00 ,0.11 ,0.13 ,8.00 ,21.00 
カボチャ,36.00 ,8.90 ,1.30 ,0.10 ,620.00 ,0.07 ,0.06 ,15.00 ,17.00 
パセリ,37.00 ,7.90 ,3.00 ,0.20 ,"7,500.00 ",0.20 ,0.24 ,200.00 ,190.00 
シソ,35.00 ,7.00 ,3.80 ,0.10 ,"8,700.00 ",55.00 ,0.32 ,55.00 ,220.00 
タマネギ,35.00 ,8.10 ,1.00 ,0.10 ,0.00 ,0.04 ,0.01 ,7.00 ,15.00 
バナナ,87.00 ,22.90 ,1.10 ,0.10 ,27.00 ,0.04 ,0.04 ,10.00 ,4.00 
キウィ,56.00 ,13.80 ,1.00 ,0.40 ,36.00 ,0.00 ,0.03 ,80.00 ,27.00 
レモン,24.00 ,7.60 ,0.40 ,0.20 ,0.00 ,0.04 ,0.02 ,45.00 ,7.00 
キャベツ,24.00 ,5.50 ,1.40 ,0.10 ,20.00 ,0.03 ,0.03 ,24.00 ,40.00 
ごぼう,76.00 ,17.60 ,2.80 ,0.10 ,0.00 ,0.04 ,0.07 ,4.00 ,49.00 
なす,18.00 ,4.00 ,1.10 ,0.10 ,40.00 ,0.03 ,0.04 ,2.00 ,14.00 
大根,18.00 ,4.00 ,0.80 ,0.10 ,0.00 ,0.03 ,0.02 ,15.00 ,30.00 
しいたけ,0.00 ,61.80 ,20.30 ,3.40 ,0.00 ,0.57 ,1.70 ,0.00 ,12.00 
はちみつ,294.00 ,79.70 ,0.20 ,0.00 ,0.00 ,0.01 ,0.01 ,3.00 ,2.00 
じゃがいも,77.00 ,17.20 ,2.00 ,0.20 ,0.00 ,0.11 ,0.03 ,23.00 ,5.00 
さつまいも,123.00 ,29.40 ,1.20 ,0.20 ,10.00 ,0.10 ,0.05 ,30.00 ,32.00 
白米,148.00 ,31.80 ,2.60 ,0.50 ,0.00 ,0.03 ,0.01 ,0.00 ,2.00 
パスタ,149.00 ,28.40 ,5.20 ,0.90 ,0.00 ,0.04 ,0.02 ,0.00 ,7.00 
砂糖,384.00 ,99.20 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
バター,745.00 ,0.20 ,0.60 ,81.00 ,140.00 ,0.01 ,0.03 ,0.00 ,15.00 
マヨネーズ,698.00 ,3.00 ,1.50 ,75.40 ,0.00 ,0.02 ,0.06 ,0.00 ,8.00 
サラダ油,921.00 ,0.00 ,0.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
